hours_studied,attendance,assignment_score,previous_marks,final_result
7,45,50,75,Fail
8,90,32,46,Pass
3,43,94,79,Fail
4,73,94,61,Pass
6,75,95,98,Pass
7,46,58,100,Fail
9,97,78,90,Pass
9,79,54,73,Pass
4,98,95,67,Pass
1,56,45,73,Fail
5,86,49,36,Pass
8,81,84,62,Pass
9,78,51,45,Pass
1,99,64,45,Pass
1,63,72,75,Pass
6,61,52,87,Pass
4,61,63,48,Pass
8,41,64,69,Fail
10,58,61,53,Fail
5,67,91,67,Pass
1,51,34,39,Fail
6,77,41,30,Pass
5,78,71,72,Pass
2,61,45,96,Pass
7,63,54,69,Pass
8,74,62,64,Pass
10,63,64,87,Pass
4,91,63,46,Pass
2,100,95,85,Pass
9,63,99,92,Pass
2,73,56,36,Fail
1,77,95,96,Pass
5,74,75,53,Pass
7,84,94,49,Pass
9,63,97,48,Pass
3,94,77,38,Pass
1,93,60,82,Pass
9,47,53,99,Fail
10,78,49,65,Pass
1,49,48,39,Fail
8,93,84,45,Pass
6,54,31,51,Fail
3,70,68,95,Pass
10,88,98,99,Pass
3,51,33,45,Fail
5,71,67,65,Pass
8,51,45,89,Fail
5,70,41,75,Pass
10,43,91,81,Fail
10,77,85,38,Pass
9,74,83,48,Pass
6,49,44,31,Fail
3,63,79,48,Pass
3,62,96,30,Pass
9,98,60,97,Pass
3,48,40,33,Fail
7,96,36,38,Pass
7,93,57,82,Pass
1,81,55,33,Fail
7,93,73,100,Pass
10,52,54,36,Fail
3,58,75,94,Fail
6,69,95,36,Pass
4,72,47,60,Pass
9,46,80,94,Fail
7,92,53,60,Pass
5,57,45,88,Fail
4,58,38,97,Fail
8,86,30,40,Pass
1,74,84,92,Pass
9,89,61,50,Pass
3,43,77,73,Fail
1,69,67,75,Pass
3,43,63,47,Fail
6,73,50,54,Pass
3,64,56,30,Fail
9,59,48,42,Fail
6,82,63,32,Pass
1,74,53,86,Pass
5,82,66,70,Pass
9,77,61,35,Pass
4,87,79,34,Pass
2,72,94,82,Pass
5,66,38,74,Pass
10,87,79,94,Pass
8,74,43,95,Pass
6,62,94,45,Pass
6,85,69,84,Pass
1,72,69,96,Pass
9,60,87,87,Pass
6,81,60,63,Pass
5,79,46,65,Pass
10,72,71,35,Pass
2,100,60,43,Pass
1,92,73,78,Pass
5,95,39,33,Pass
5,62,87,96,Pass
4,46,66,87,Fail
9,83,69,62,Pass
2,70,54,67,Pass
6,53,89,92,Fail
5,100,100,47,Pass
10,78,100,62,Pass
2,85,32,73,Pass
9,87,85,59,Pass
3,77,90,66,Pass
9,74,88,57,Pass
7,45,54,41,Fail
5,83,50,87,Pass
3,59,54,79,Fail
6,87,84,98,Pass
2,96,34,89,Pass
8,47,40,60,Fail
3,70,77,76,Pass
2,58,72,74,Fail
6,70,32,87,Pass
2,91,66,66,Pass
3,82,35,73,Pass
7,92,31,82,Pass
2,98,39,38,Fail
2,46,81,69,Fail
9,78,86,100,Pass
1,78,63,37,Fail
3,99,50,40,Pass
1,91,30,41,Fail
8,57,36,67,Fail
4,44,44,50,Fail
2,81,90,63,Pass
3,63,40,32,Fail
5,64,35,56,Pass
4,85,78,99,Pass
10,44,93,36,Fail
9,80,40,48,Pass
9,62,62,36,Pass
6,72,32,51,Pass
3,60,34,89,Pass
8,69,67,67,Pass
9,72,60,30,Pass
10,88,53,79,Pass
7,100,47,37,Pass
9,80,99,95,Pass
8,54,37,47,Fail
2,61,55,68,Pass
8,75,88,41,Pass
8,61,45,42,Pass
1,93,65,33,Fail
8,73,51,97,Pass
4,75,52,48,Pass
3,69,80,86,Pass
7,100,58,32,Pass
1,98,80,88,Pass
8,88,61,30,Pass
10,96,47,89,Pass
7,51,70,68,Fail
9,82,77,90,Pass
1,71,67,75,Pass
3,89,74,38,Pass
3,64,70,37,Pass
6,61,91,36,Pass
7,68,50,55,Pass
4,67,32,47,Fail
6,50,84,81,Fail
2,52,93,64,Fail
6,98,32,99,Pass
5,84,45,61,Pass
7,66,63,45,Pass
10,76,61,49,Pass
1,71,65,81,Pass
8,96,77,71,Pass
5,59,31,67,Fail
10,86,30,35,Pass
7,80,59,31,Pass
3,44,80,90,Fail
10,84,73,47,Pass
9,43,47,94,Fail
3,79,67,56,Pass
1,86,62,31,Fail
7,84,34,79,Pass
9,90,69,45,Pass
5,67,45,68,Pass
6,84,62,36,Pass
3,87,99,78,Pass
8,58,90,62,Fail
9,76,40,71,Pass
8,48,61,85,Fail
7,87,44,86,Pass
6,80,92,59,Pass
10,58,74,86,Fail
5,64,90,56,Pass
6,72,93,73,Pass
2,65,39,51,Fail
9,54,43,77,Fail
4,75,83,65,Pass
3,69,44,31,Fail
7,75,92,89,Pass
3,43,64,81,Fail
4,47,56,95,Fail
7,78,60,98,Pass
2,77,79,59,Pass
6,40,63,78,Fail
5,92,37,95,Pass
6,44,48,93,Fail
8,40,80,47,Fail
5,45,68,100,Fail
2,90,49,99,Pass
4,93,79,91,Pass
